date,ted
4/1/2010,0.17
5/1/2010,0.18
6/1/2010,0.19
7/1/2010,0.2
8/1/2010,0.2
11/1/2010,0.21
12/1/2010,0.2
13/1/2010,0.19
14/1/2010,0.2
15/1/2010,0.19
19/1/2010,0.19
20/1/2010,0.2
21/1/2010,0.19
22/1/2010,0.19
25/1/2010,0.19
26/1/2010,0.18
27/1/2010,0.17
28/1/2010,0.17
29/1/2010,0.17
1/2/2010,0.15
2/2/2010,0.15
3/2/2010,0.15
4/2/2010,0.16
5/2/2010,0.15
8/2/2010,0.13
9/2/2010,0.13
10/2/2010,0.14
11/2/2010,0.14
12/2/2010,0.15
16/2/2010,0.15
17/2/2010,0.15
18/2/2010,0.15
19/2/2010,0.14
22/2/2010,0.14
23/2/2010,0.13
24/2/2010,0.13
25/2/2010,0.12
26/2/2010,0.12
1/3/2010,0.12
2/3/2010,0.11
3/3/2010,0.11
4/3/2010,0.11
5/3/2010,0.1
8/3/2010,0.09
9/3/2010,0.1
10/3/2010,0.11
11/3/2010,0.1
12/3/2010,0.11
15/3/2010,0.09
16/3/2010,0.1
17/3/2010,0.12
18/3/2010,0.11
19/3/2010,0.12
22/3/2010,0.13
23/3/2010,0.14
24/3/2010,0.14
25/3/2010,0.15
26/3/2010,0.15
29/3/2010,0.14
30/3/2010,0.13
31/3/2010,0.13
1/4/2010,0.13
6/4/2010,0.12
7/4/2010,0.13
8/4/2010,0.12
9/4/2010,0.14
12/4/2010,0.14
13/4/2010,0.14
14/4/2010,0.14
15/4/2010,0.14
16/4/2010,0.15
19/4/2010,0.15
20/4/2010,0.15
21/4/2010,0.16
22/4/2010,0.16
23/4/2010,0.16
26/4/2010,0.16
27/4/2010,0.17
28/4/2010,0.18
29/4/2010,0.17
30/4/2010,0.19
4/5/2010,0.19
5/5/2010,0.21
6/5/2010,0.26
7/5/2010,0.3
10/5/2010,0.26
11/5/2010,0.26
12/5/2010,0.27
13/5/2010,0.28
14/5/2010,0.29
17/5/2010,0.3
18/5/2010,0.29
19/5/2010,0.31
20/5/2010,0.31
21/5/2010,0.33
24/5/2010,0.34
25/5/2010,0.37
26/5/2010,0.37
27/5/2010,0.37
28/5/2010,0.38
1/6/2010,0.38
2/6/2010,0.38
3/6/2010,0.4
4/6/2010,0.4
7/6/2010,0.42
8/6/2010,0.42
9/6/2010,0.44
10/6/2010,0.44
11/6/2010,0.46
14/6/2010,0.47
15/6/2010,0.45
16/6/2010,0.44
17/6/2010,0.45
18/6/2010,0.43
21/6/2010,0.42
22/6/2010,0.41
23/6/2010,0.41
24/6/2010,0.41
25/6/2010,0.4
28/6/2010,0.36
29/6/2010,0.38
30/6/2010,0.35
1/7/2010,0.36
2/7/2010,0.36
6/7/2010,0.36
7/7/2010,0.37
8/7/2010,0.38
9/7/2010,0.37
12/7/2010,0.37
13/7/2010,0.38
14/7/2010,0.38
15/7/2010,0.37
16/7/2010,0.37
19/7/2010,0.35
20/7/2010,0.35
21/7/2010,0.35
22/7/2010,0.34
23/7/2010,0.33
26/7/2010,0.33
27/7/2010,0.33
28/7/2010,0.33
29/7/2010,0.32
30/7/2010,0.3
2/8/2010,0.28
3/8/2010,0.27
4/8/2010,0.26
5/8/2010,0.27
6/8/2010,0.26
9/8/2010,0.25
10/8/2010,0.25
11/8/2010,0.23
12/8/2010,0.22
13/8/2010,0.22
16/8/2010,0.2
17/8/2010,0.18
18/8/2010,0.19
19/8/2010,0.18
20/8/2010,0.18
23/8/2010,0.16
24/8/2010,0.15
25/8/2010,0.14
26/8/2010,0.14
27/8/2010,0.15
31/8/2010,0.16
1/9/2010,0.17
2/9/2010,0.15
3/9/2010,0.15
7/9/2010,0.15
8/9/2010,0.15
9/9/2010,0.15
10/9/2010,0.15
13/9/2010,0.14
14/9/2010,0.14
15/9/2010,0.14
16/9/2010,0.13
17/9/2010,0.13
20/9/2010,0.12
21/9/2010,0.12
22/9/2010,0.13
23/9/2010,0.13
24/9/2010,0.14
27/9/2010,0.13
28/9/2010,0.13
29/9/2010,0.13
30/9/2010,0.13
1/10/2010,0.13
4/10/2010,0.16
5/10/2010,0.17
6/10/2010,0.16
7/10/2010,0.16
8/10/2010,0.17
12/10/2010,0.16
13/10/2010,0.16
14/10/2010,0.15
15/10/2010,0.15
18/10/2010,0.14
19/10/2010,0.15
20/10/2010,0.15
21/10/2010,0.16
22/10/2010,0.16
25/10/2010,0.15
26/10/2010,0.15
27/10/2010,0.15
28/10/2010,0.16
29/10/2010,0.17
1/11/2010,0.16
2/11/2010,0.16
3/11/2010,0.16
4/11/2010,0.16
5/11/2010,0.16
8/11/2010,0.16
9/11/2010,0.16
10/11/2010,0.16
12/11/2010,0.15
15/11/2010,0.14
16/11/2010,0.13
17/11/2010,0.14
18/11/2010,0.13
19/11/2010,0.14
22/11/2010,0.13
23/11/2010,0.13
24/11/2010,0.13
26/11/2010,0.13
29/11/2010,0.12
30/11/2010,0.13
1/12/2010,0.14
2/12/2010,0.14
3/12/2010,0.16
6/12/2010,0.15
7/12/2010,0.16
8/12/2010,0.15
9/12/2010,0.16
10/12/2010,0.17
13/12/2010,0.15
14/12/2010,0.15
15/12/2010,0.16
16/12/2010,0.17
17/12/2010,0.19
20/12/2010,0.16
21/12/2010,0.16
22/12/2010,0.16
23/12/2010,0.16
29/12/2010,0.17
30/12/2010,0.18
31/12/2010,0.18
4/1/2011,0.16
5/1/2011,0.16
6/1/2011,0.15
7/1/2011,0.16
10/1/2011,0.15
11/1/2011,0.15
12/1/2011,0.15
13/1/2011,0.15
14/1/2011,0.15
18/1/2011,0.14
19/1/2011,0.14
20/1/2011,0.14
21/1/2011,0.14
24/1/2011,0.14
25/1/2011,0.14
26/1/2011,0.14
27/1/2011,0.15
28/1/2011,0.15
31/1/2011,0.15
1/2/2011,0.16
2/2/2011,0.15
3/2/2011,0.17
4/2/2011,0.16
7/2/2011,0.15
8/2/2011,0.16
9/2/2011,0.17
10/2/2011,0.19
11/2/2011,0.19
14/2/2011,0.18
15/2/2011,0.18
16/2/2011,0.19
17/2/2011,0.22
18/2/2011,0.21
22/2/2011,0.19
23/2/2011,0.19
24/2/2011,0.18
25/2/2011,0.18
28/2/2011,0.16
1/3/2011,0.17
