,Symbol,Company Name,Industry,Market Cap
0,A,agilent-technologies,Diagnostics & Research,38960741880
1,AA,alcoa,Aluminum,5263139280
2,AACG,ata-creativity-global,Education & Training Services,33887074
3,AACI,armada-acquisition-i,Shell Companies,88155511
4,AACT,ares-acquisition-corporation-ii,Shell Companies,656874979
5,AADI,aadi-bioscience,Biotechnology,42675066
6,AAGR,african-agriculture-holdings,Farm Products,56709464
7,AAL,american-airlines-group,Airlines,9515542400
8,AAMC,altisource-asset-management,Asset Management,13074335
9,AAME,atlantic-american,Insurance - Life,56106325
10,AAN,-aaron's-,Rental & Leasing Services,306629223
11,AAOI,applied-optoelectronics,Semiconductors,669154178
12,AAON,"aaon,-inc",Building Products & Equipment,5956876068
13,AAP,advance-auto-parts,Specialty Retail,4033640580
14,AAPL,apple,Consumer Electronics,2873594115000
15,AAT,american-assets-trust,REIT - Diversified,1352944088
16,AAU,almaden-minerals,Gold,18524835
17,AB,alliancebernstein-holding-lp,Asset Management,3731796770
18,ABAT,american-battery-technology-,Other Industrial Metals & Mining,127795980
19,ABBV,abbvie,Drug Manufacturers - General,297793631800
20,ABCB,ameris-bancorp,Banks - Regional,3398744362
21,ABCL,abcellera-biologics,Biotechnology,1453751700
22,ABEO,abeona-rapeutics,Biotechnology,109497986
23,ABEV,ambev,Beverages - Brewers,41403937094
24,ABG,asbury-automotive-group,Auto & Truck Dealerships,4388542098
25,ABIO,arca-biopharma,Biotechnology,23344362
26,ABL,abacus-life,Insurance - Life,777302046
27,ABLV,able-view,Advertising Agencies,114793592
28,ABM,abm-industries,Specialty Business Services,2596163430
29,ABNB,airbnb,Travel Services,95147449157
30,ABOS,acumen-pharmaceuticals,Biotechnology,171994185
31,ABR,arbor-realty-trust,REIT - Mortgage,2586157526
32,ABSI,absci,Biotechnology,411717555
33,ABT,abbott-laboratories,Medical Devices,194629686600
34,ABTS,abits-group,Advertising Agencies,35600000
35,ABUS,arbutus-biopharma,Biotechnology,399114100
36,ABVC,abvc-biopharma,Biotechnology,11869140
37,ABVX,abivax,Biotechnology,789330782
38,AC,associated-capital-group,Capital Markets,731093980
39,ACA,arcosa,Infrastructure Operations,3936882400
40,ACAB,atlantic-coastal-acquisition-corp-ii,Shell Companies,92699877
41,ACAC,acri-capital-acquisition,Shell Companies,60173656
42,ACAD,acadia-pharmaceuticals,Biotechnology,4152112200
43,ACAH,atlantic-coastal-acquisition,Shell Companies,128870560
44,ACB,aurora-cannabis,Drug Manufacturers - Specialty & Generic,169363164
45,ACBA,ace-global-business-acquisition,Shell Companies,41105536
46,ACCD,accolade,Health Information Services,928891200
47,ACCO,acco-brands,Business Equipment & Supplies,598031910
48,ACDC,profrac-holding,Oil & Gas Equipment & Services,1118988000
49,ACEL,accel-entertainment,Gambling,854817264
50,ACET,adicet-bio,Biotechnology,246151500
51,ACGL,arch-capital,Insurance - Diversified,31085227600
52,ACHC,acadia-healthcare-,Medical Care Facilities,7404984950
53,ACHL,achilles-rapeutics,Biotechnology,37321292
54,ACHR,archer-aviation,Aerospace & Defense,1485843162
55,ACHV,achieve-life-sciences,Biotechnology,102654130
56,ACI,albertsons-companies,Grocery Stores,12298454000
57,ACIC,american-coastal-insurance,Insurance - Property & Casualty,500873898
58,ACIU,ac-immune,Biotechnology,304148152
59,ACIW,aci-worldwide,Software - Infrastructure,3205154040
60,ACLS,axcelis-technologies,Semiconductor Equipment & Materials,4310225950
61,ACLX,arcellx,Biotechnology,3092725310
62,ACM,aecom,Engineering & Construction,12274715520
63,ACMR,acm-research,Semiconductor Equipment & Materials,984270526
64,ACN,accenture,Information Technology Services,233836666400
65,ACNB,acnb-corporation,Banks - Regional,306958177
66,ACNT,ascent-industries-co,Steel,101052490
67,ACON,aclarion,Health Information Services,3051310
68,ACOR,acorda-rapeutics,Drug Manufacturers - Specialty & Generic,19774232
69,ACR,acres-commercial-realty,REIT - Mortgage,85565916
70,ACRE,ares-commercial-real-estate,REIT - Mortgage,501883362
71,ACRS,aclaris-rapeutics,Diagnostics & Research,85711802
72,ACRV,acrivon-rapeutics,Biotechnology,84439072
73,ACST,acasti-pharma,Biotechnology,22370572
74,ACT,enact-holdings,Insurance - Specialty,4471684000
75,ACTG,acacia-research,Specialty Business Services,396548611
76,ACU,acme-united,Household & Personal Products,173445687
77,ACVA,acv-auctions,Auto & Truck Dealerships,2197182585
78,ACXP,acurx-pharmaceuticals,Biotechnology,43919920
79,ADAG,adagene,Biotechnology,150518933
80,ADAP,adaptimmune-rapeutics,Biotechnology,226932505
81,ADBE,adobe,Software - Infrastructure,286911520000
82,ADC,agree-realty,REIT - Retail,5968877600
83,ADCT,adc-rapeutics,Biotechnology,290313000
84,ADD,color-star-technology-co,Entertainment,3284758
85,ADEA,adeia,Software - Application,1306478040
86,ADI,analog-devices,Semiconductors,95250864000
87,ADIL,adial-pharmaceuticals,Biotechnology,1863030
88,ADM,archer-daniels-midland,Farm Products,29703987890
89,ADMA,adma-biologics,Biotechnology,1181812640
90,ADN,advent-technologies-holdings,Utilities - Renewable,12330304
91,ADNT,adient,Auto Parts,3241054510
92,ADOC,edoc-acquisition,Shell Companies,42537468
93,ADP,automatic-data-processing,Staffing & Employment Services,102336797050
94,ADPT,adaptive-biotechnologies,Biotechnology,528421450
95,ADRT,ault-disruptive-technologies,Shell Companies,35571647
96,ADSE,ads-tec-energy,Electrical Equipment & Parts,356612949
97,ADSK,autodesk,Software - Application,54858501750
98,ADT,adt-inc,Security & Protection Services,5705366660
99,ADTH,adorent-holding-,Advertising Agencies,247077320
100,ADTN,adtran-holdings,Communication Equipment,527283300
101,ADTX,aditxt,Biotechnology,7316432
102,ADUS,addus-homecare,Medical Care Facilities,1441162536
103,ADV,advantage-solutions,Advertising Agencies,1263144780
104,ADVM,adverum-biotechnologies,Biotechnology,143458340
105,ADXN,addex-rapeutics,Biotechnology,15479415
106,AE,adams-resources-&-energy,Oil & Gas Refining & Marketing,63966573
107,AEAE,altenergy-acquisition,Shell Companies,80455697
108,AEE,ameren,Utilities - Regulated Electric,18251011895
109,AEG,aegon,Insurance - Diversified,10485781421
110,AEHL,antelope-enterprise-holdings,Building Products & Equipment,3289433
111,AEHR,aehr-test-systems,Semiconductor Equipment & Materials,434468952
112,AEI,alset-ehome-international,Real Estate - Development,11728602
113,AEIS,advanced-energy-industries,Electrical Equipment & Parts,3953245428
114,AEL,american-equity-investment-life-holding-,Insurance - Life,4381925160
115,AEM,agnico-eagle-mines,Gold,24036677225
116,AEMD,aethlon-medical,Medical Devices,4487238
117,AENT,alliance-entertainment-holding,Electronics Distributors,70215858
118,AEO,american-eagle-outfitters,Apparel Retail,4102864260
119,AEON,aeon-biopharma,Biotechnology,267549120
120,AEP,american-electric-power,Utilities - Regulated Electric,41349629880
121,AER,aercap-holdings,Rental & Leasing Services,16433485200
122,AERT,aeries-technology,Consulting Services,66400000
123,AES,aes,Utilities - Diversified,11397085444
124,AESI,atlas-energy-solutions,Oil & Gas Equipment & Services,2393213180
125,AEVA,aeva-technologies,Auto Parts,227843430
126,AEY,addvantage-technologies-group,Electronics & Computer Distribution,671573
127,AEYE,audioeye,Software - Application,62654503
128,AEZS,aeterna-zentaris,Biotechnology,8692025
129,AFAR,aura-fat-projects-acquisition,Shell Companies,63425161
130,AFBI,affinity-bancshares,Banks - Regional,103490622
131,AFCG,afc-gamma,REIT - Specialty,238127628
132,AFG,american-financial-group,Insurance - Property & Casualty,9918453742
133,AFIB,acutus-medical,Medical Devices,5192633
134,AFJK,aimei-health-technology,,91794420
135,AFL,aflac,Insurance - Life,44892071600
136,AFMD,affimed,Biotechnology,82136450
137,AFRI,forafric-global,Farm Products,594386511
138,AFRM,affirm-holdings,Software - Infrastructure,12374110971
139,AFYA,afya-limited,Education & Training Services,1881954366
140,AG,first-majestic-silver,Silver,1377316800
141,AGAE,allied-gaming-&-entertainment,Entertainment,46790229
142,AGBA,agba-acquisition,Shell Companies,24734448
143,AGCO,agco-corporation,Farm & Heavy Construction Machinery,9167546157
144,AGE,agex-rapeutics,Biotechnology,15408228
145,AGEN,agenus,Biotechnology,243088614
146,AGFY,agrify,Engineering & Construction,4997887
147,AGI,alamos-gold,Gold,4932944741
148,AGIO,agios-pharmaceuticals,Biotechnology,1283360672
149,AGL,agilon-health,Medical Care Facilities,2468729280
150,AGM,federal-agricultural-mortgage,Credit Services,2007759806
