,0
0,A
1,AAPL
2,ABT
3,ACGL
4,ACN
5,ADBE
6,ADI
7,ADM
8,ADP
9,ADSK
10,AEE
11,AEP
12,AES
13,AFL
14,AIG
15,AIZ
16,AJG
17,AKAM
18,ALB
19,ALGN
20,ALL
21,AMAT
22,AMD
23,AME
24,AMGN
25,AMT
26,AMZN
27,ANSS
28,AON
29,AOS
30,APA
31,APD
32,APH
33,ARE
34,ATO
35,AVB
36,AVY
37,AXON
38,AXP
39,AZO
40,BA
41,BAC
42,BALL
43,BAX
44,BBWI
45,BBY
46,BDX
47,BEN
48,BG
49,BIIB
50,BIO
51,BK
52,BKNG
53,BKR
54,BLK
55,BMY
56,BRO
57,BSX
58,BWA
59,BXP
60,C
61,CAG
62,CAH
63,CAT
64,CB
65,CBRE
66,CCI
67,CCL
68,CDNS
69,CHD
70,CHRW
71,CI
72,CINF
73,CL
74,CLX
75,CMA
76,CMCSA
77,CME
78,CMI
79,CMS
80,CNC
81,CNP
82,COF
83,COO
84,COP
85,COR
86,COST
87,CPB
88,CPRT
89,CPT
90,CRL
91,CRM
92,CSCO
93,CSGP
94,CSX
95,CTAS
96,CTRA
97,CTSH
98,CVS
99,CVX
100,D
101,DD
102,DE
103,DGX
104,DHI
105,DHR
106,DIS
107,DLR
108,DLTR
109,DOV
110,DPZ
111,DRI
112,DTE
113,DUK
114,DVA
115,DVN
116,EA
117,EBAY
118,ECL
119,ED
120,EFX
121,EG
122,EIX
123,EL
124,ELV
125,EMN
126,EMR
127,EOG
128,EQIX
129,EQR
130,EQT
131,ES
132,ESS
133,ETN
134,ETR
135,EVRG
136,EW
137,EXC
138,EXPD
139,EXR
140,F
141,FAST
142,FCX
143,FDS
144,FDX
145,FE
146,FFIV
147,FI
148,FICO
149,FIS
150,FITB
151,FMC
152,FRT
153,GD
154,GE
155,GEN
156,GILD
157,GIS
158,GL
159,GLW
160,GOOG
161,GPC
162,GPN
163,GRMN
164,GS
165,GWW
166,HAL
167,HAS
168,HBAN
169,HD
170,HES
171,HIG
172,HOLX
173,HON
174,HPQ
175,HRL
176,HSIC
177,HST
178,HSY
179,HUBB
180,HUM
181,IBM
182,IDXX
183,IEX
184,IFF
185,ILMN
186,INCY
187,INTC
188,INTU
189,IP
190,IPG
191,IRM
192,ISRG
193,IT
194,ITW
195,IVZ
196,J
197,JBHT
198,JBL
199,JCI
200,JKHY
201,JNJ
202,JNPR
203,JPM
204,K
205,KEY
206,KIM
207,KLAC
208,KMB
209,KMX
210,KO
211,KR
212,L
213,LEN
214,LH
215,LHX
216,LIN
217,LKQ
218,LLY
219,LMT
220,LNT
221,LOW
222,LRCX
223,LUV
224,LVS
225,MAA
226,MAR
227,MAS
228,MCD
229,MCHP
230,MCK
231,MCO
232,MDLZ
233,MDT
234,MET
235,MGM
236,MHK
237,MKC
238,MKTX
239,MLM
240,MMC
241,MMM
242,MNST
243,MO
244,MOH
245,MOS
246,MPWR
247,MRK
248,MRO
249,MS
250,MSFT
251,MSI
252,MTB
253,MTCH
254,MTD
255,MU
256,NDAQ
257,NDSN
258,NEE
259,NEM
260,NFLX
261,NI
262,NKE
263,NOC
264,NRG
265,NSC
266,NTAP
267,NTRS
268,NUE
269,NVDA
270,NVR
271,O
272,ODFL
273,OKE
274,OMC
275,ON
276,ORCL
277,ORLY
278,OXY
279,PAYX
280,PCAR
281,PCG
282,PEAK
283,PEG
284,PEP
285,PFE
286,PFG
287,PG
288,PGR
289,PH
290,PHM
291,PKG
292,PLD
293,PNC
294,PNR
295,PNW
296,POOL
297,PPG
298,PPL
299,PRU
300,PSA
301,PTC
302,PWR
303,PXD
304,QCOM
305,RCL
306,REG
307,REGN
308,RF
309,RHI
310,RJF
311,RL
312,RMD
313,ROK
314,ROL
315,ROP
316,ROST
317,RSG
318,RTX
319,RVTY
320,SBAC
321,SBUX
322,SCHW
323,SHW
324,SJM
325,SLB
326,SNA
327,SNPS
328,SO
329,SPG
330,SPGI
331,SRE
332,STE
333,STLD
334,STT
335,STX
336,STZ
337,SWK
338,SWKS
339,SYK
340,SYY
341,T
342,TAP
343,TDY
344,TECH
345,TER
346,TFC
347,TFX
348,TGT
349,TJX
350,TMO
351,TPR
352,TRMB
353,TROW
354,TRV
355,TSCO
356,TSN
357,TT
358,TTWO
359,TXN
360,TXT
361,TYL
362,UDR
363,UHS
364,UNH
365,UNP
366,UPS
367,URI
368,USB
369,VFC
370,VLO
371,VMC
372,VRSN
373,VRTX
374,VTR
375,VTRS
376,VZ
377,WAB
378,WAT
379,WBA
380,WDC
381,WEC
382,WELL
383,WFC
384,WHR
385,WM
386,WMB
387,WMT
388,WRB
389,WST
390,WTW
391,WY
392,WYNN
393,XEL
394,XOM
395,XRAY
396,YUM
397,ZBH
398,ZBRA
